date,hour,day,pm25
2018-08-30,06,30,6.2
2018-08-30,07,30,7.1
2018-08-30,08,30,7
2018-08-30,09,30,6.5
2018-08-30,10,30,7.7
2018-08-30,11,30,8.3
2018-08-30,12,30,10.1
2018-08-30,13,30,8.5
2018-08-30,14,30,7.2
2018-08-30,15,30,6.1
2018-08-30,16,30,7
2018-08-30,17,30,7.5
2018-08-30,18,30,6.2
2018-08-30,19,30,4.1
2018-08-30,20,30,3.5
2018-08-30,21,30,3.7
2018-08-30,22,30,2.8
2018-08-30,23,30,3.4
